latitude,longitude,address,zipcode
37.78396975,-122.3901561,"180 Brannan St, San Francisco, CA 94105, USA",94105
37.77109983,-122.4246065,"Market St & Laguna St, San Francisco, CA 94102, USA",94102
37.75579479,-122.4323839,"822 Noe St, San Francisco, CA 94114, USA",94114
37.78013819,-122.4806974,"5709 Geary Blvd, San Francisco, CA 94121, USA",94121
37.75837824,-122.5083047,"4407 Kirkham St, San Francisco, CA 94122, USA",94122
37.7959264,-122.4212282,"1461 Broadway, San Francisco, CA 94109, USA",94109
37.79919551,-122.4348214,"2131 Greenwich St, San Francisco, CA 94123, USA",94123
37.75432519,-122.4241248,"149 Fair Oaks St, San Francisco, CA 94110, USA",94110
37.77600004,-122.3929578,"185 Berry St, San Francisco, CA 94107, USA",94107
37.77727938,-122.4428978,"1860 McAllister St, San Francisco, CA 94115, USA",94115
37.77903113,-122.4868078,"552 27th Ave, San Francisco, CA 94121, USA",94121
37.72905714,-122.45732,"170 Eastwood Dr, San Francisco, CA 94112, USA",94112
37.77439119,-122.4309963,"533 Fillmore St, San Francisco, CA 94117, USA",94117
37.76012187,-122.4682742,"1503 11th Ave, San Francisco, CA 94122, USA",94122
37.77442922,-122.4861453,"790 27th Ave, San Francisco, CA 94121, USA",94121
37.76403426,-122.394933,"1110 Mariposa St, San Francisco, CA 94107, USA",94107
37.78183936,-122.4306252,"1400 Eddy St, San Francisco, CA 94115, USA",94115
37.79073597,-122.4492954,"3300 Jackson St, San Francisco, CA 94118, USA",94118
37.7198111,-122.4798378,"500 Font Blvd, San Francisco, CA 94132, USA",94132
37.78966871,-122.4270645,"1840 Octavia St, San Francisco, CA 94109, USA",94109
37.765329,-122.4288333,"348 Church St, San Francisco, CA 94114, USA",94114
37.76095817,-122.4725243,"1452 15th Ave, San Francisco, CA 94122, USA",94122
37.74673162,-122.4285221,"379 27th St, San Francisco, CA 94131, USA",94131
37.80037223,-122.4178647,"1100 Filbert St, San Francisco, CA 94109, USA",94109
37.73230808,-122.4439755,"383 Joost Ave, San Francisco, CA 94131, USA",94131
37.78528045,-122.4271527,"1500 Laguna St, San Francisco, CA 94115, USA",94115
37.75092479,-122.4997958,"1920 41st Ave, San Francisco, CA 94116, USA",94116
37.77805222,-122.4641513,"555 6th Ave, San Francisco, CA 94118, USA",94118
37.80009664,-122.4224508,"2526 Polk St, San Francisco, CA 94109, USA",94109
37.80743802,-122.4148595,"2 Beach St, San Francisco, CA 94133, USA",94133
37.74234136,-122.4218646,"3395 Mission St, San Francisco, CA 94110, USA",94110
37.79074583,-122.4462483,"3101 Jackson St, San Francisco, CA 94115, USA",94115
37.80141024,-122.4466497,"3271 Baker St, San Francisco, CA 94123, USA",94123
37.73420662,-122.4484282,"712 Foerster St, San Francisco, CA 94127, USA",94127
37.74116253,-122.449624,"362 Teresita Blvd, San Francisco, CA 94127, USA",94127
37.72269063,-122.3953419,"6199 3rd St, San Francisco, CA 94124, USA",94124
37.78630596,-122.4647533,"121 6th Ave, San Francisco, CA 94118, USA",94118
37.73716856,-122.4382351,"300 Sussex St, San Francisco, CA 94131, USA",94131
